Marca;Dimensiones;Nombre;Fecha revisión;Recomendado;Puntuación;Texto
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-02-25T00:00:00.000Z;sí;5;Cobblestone Bread Co. Original English Muffins are wonderful for breakfast sandwiches. Toasted and spread with butter and drizzled with honey or jam, What can I say Not enough for sure. You have to try them. Maybe for lunch with chicken salad Or a BLT when tomatoes are ripe and juicy. Any way, they are the BEST!
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-02-05T00:00:00.000Z;sí;4;I like these better than Thomas English Muffins. The texture and pre-slitting is better.
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-11-10T00:00:00.000Z;sí;3;Cobblestone English Muffins, Wheat, 6ct. Are they 'spose to be SO Doughy Hard to slice 'cuz the doughy inside balls-up. Taste very good, (only after toasting till the edges burn)
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-01-22T00:00:00.000Z;sí;5;These English Muffins are very good and they are half the price of others.
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-04-10T00:00:00.000Z;sí;5;I love the Cobblestone Original English Muffins. Being from New England, these are the type of English Muffins I am used to. I don't like those other ones with the nooks and crannies. In New England, you can find this type in every grocery store, not necessarily the Cobblestone brand. It's hard to find this type in the south. Seems like they only sell Thomas's which are gross. Sometimes I can find these at Food Lion but my Walmart doesn't even have a spot on the shelf.
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-06-04T00:00:00.000Z;sí;5;This product is as good as if not better. Stays fresher longer and their other products are very good as well.
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-05-15T00:00:00.000Z;sí;5;Bought these just to try them out.... they were great... flavorful, crispy when lightly toasted.. we will definitely buy them again.
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-06-07T00:00:00.000Z;sí;5;first time trying these... really good
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-05-11T00:00:00.000Z;sí;4;Great much better than the name brand
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2016-02-24T00:00:00.000Z;sí;5;Doesn't have nooks and crannies but for the price I really enjoy them.
Cobblestone Bread Co.;;Cobblestone Bread Co. Original English Muffins, 6 ct, 12 oz;2015-12-09T00:00:00.000Z;no;2;Not soft like Orowheat!!
Woodbridge;;Woodbridge by Robert Mondavi Cabernet Sauvignon Wine, 1.5 L;2017-08-06T00:00:00.000Z;sí;4;Dry enough but not overpowering.
Woodbridge;;Woodbridge by Robert Mondavi Chardonnay Wine, 1.5 L;2013-03-23T00:00:00.000Z;sí;4;This Chardonnay pairs great with all types of meals and also seems to appease all wine drinkers. Good choice for large gatherings. Great value and guests are happy with the quality.
Mr. & Mrs. T;13.938 in x 9.813 in x 12.438 in;Mr _ Mrs T Original Bloody Mary Mix, 59.2 fl oz, ();2016-10-06T00:00:00.000Z;sí;5;This is my favorite brand and size...........I drink it instead of V-8 for breakfast, along with an occasional true Bloody Mary when I am entertaining friends. My only complaint is the delivery packaging of a pack of 6 - the box was delivered upside down and was ripped - the contents, thankfully, were not damaged. It would help if the outer box was labeled THIS SIDE UP !!
Mr. & Mrs. T;13.938 in x 9.813 in x 12.438 in;Mr _ Mrs T Original Bloody Mary Mix, 59.2 fl oz, ();2013-12-19T00:00:00.000Z;sí;5;I love this product and drink usually an 8 oz bottle daily with nothing in it but the mix. It is like Snappy Tom but I like it better. The last time I ordered a case of it and it is almost gone already. If you like a spicy tomato drink I highly recommend it.
Mr. & Mrs. T;13.938 in x 9.813 in x 12.438 in;Mr _ Mrs T Original Bloody Mary Mix, 59.2 fl oz, ();2015-10-26T00:00:00.000Z;sí;5;I love this and drink it without alcohol every day. But, it is practically non existent in the stores. You can find Bold Spicy but not this. And why does this cost almost 2.00 more per bottle then the Bold Spicy
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;Hi, this is Cocktail Artist Robert Porter. First, I'd like to thank you for taking the time to review my Cocktail Artist Premium Manhattan Mix. I am totally humbled and very passionate about bringing you this remarkable product. What I've done is take out the guess work for making an exceptional Manhattan at home. Just use 2 parts whiskey and 1 part CA Manhattan Mix, stir with ice and enjoy...yes it's that easy! By being able to create a unique product that is made with all natural ingredients and pure cane sugar you get a smooth, well balanced cocktail that doesn't have any artificial flavors or aftertaste. Try my Manhattan Mix with other Cocktail Artist essential bar ingredients, to easily create a variety of amazing drinks. Use it with our Cocktail Artist lemon juice to make the perfect Whiskey Sour or with our CA Mint Syrup for an amazing Mint Julip. If your not a big fan Whiskey, you can use this with other spirits. Mix tequila with CA Manhattan mix and our premium lime juice for a fine Margarita. Or make a Dark and Stormy using lite rum, CA Manhattan Mix, CA Mule Mix and top with club soda. Another favorite of mine is the Nigroni with Gin, CA Manhattan Mix, Campari and an orange twist. I urge you guys to exparament and see what you can create. Make the glass your canvas, mix it like you mean it. Robert.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-14T00:00:00.000Z;sí;5;OMG....Love, Love the best cocktail mix ever!!!! A must try for everyone, Don't miss out!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;Although I don't feel it's necessary to describe how angels came down from heaven to squeeze tiny droplets of Nirvana into a bottle to be sold across the country in retailers under this brand and recipe... I feel I will be expressing this to everyone I meet until the bitter end of my life. This mix... this powerful concoction of pure ecstasy ... is unbelievably awesome and will likely turn me into a raging alcoholic passed out in a gutter occasionally coming to the surface to scream I need more as monkeys and degenerate courtesans frolic in my bodily fluids streaming from both ends. It's that freaking good folks... buy it... buy cases of it... snort it, drink it, shoot it, whatever you do ... just try it! Once you do you'll be on here leaving another depraved review... hopefully three times more twisted than mine! God Speed. God Speed.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;After finding out that I was hosting an impromptu b-day party for a friend I scrambled knowing that my beverage knowledge was very basic, limited to essentially beer, wine and liquor/soda. Further, I knew that I would soon host several liquor pros, including those that would size-up my novice bartending abilities. Enter the Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix. Making my pre-shindig trip to Walmart, I circled the aisles looking for something that could help me out. I came across a bottle of this liquid magic which allowed me to craft top-notch Manhattans. To this day, I still am asked by party patrons what was my secret recipe, go figure! If you need instant bartender credibility for your next soire, look no further than this life-saver.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;Bought this on a whim last minute for a dinner party and was very pleasantly surprised . ...tried it with both bourbon (bulleit) and rye (rittenhouse) and both came out great. It has a nice citrusyness that brings all the flavors together quite nicely and it wasn't too sweet or syrupy or artificial tasting at all. Loved this product and will definitely be making it a staple in my home bar...can't wait to sample the other products in their line as well
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;The BEST easiest manhatten EVER! Was such a great mix to have for our diy cocktail party! Now it's always in our bar at home! Sometimes you just need a fancy drink
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-14T00:00:00.000Z;sí;5;Best cocktail product ever! My husband is a 33yr career bartender this changed his game, it is now the staple of his bar. It's so smooth light, makes it impossible to have just 1:-)
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;I'm very impressed with the fact that this Mannhattan Mix represented by Robert Porter, has natural ingredients, and is not laden with fake chemicals. I prefer my drinks to taste real, fresh and balanced, and this mix is a lovely complement to my whiskey of choice. I highly recommend this mix!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-12T00:00:00.000Z;sí;5;This is amazing!! I was shocked by how smooth, and tasty it was!! Usually I do not buy cocktail mixes but a friend recommended this one to me, and I am so glad she did. I love it! It will defiantly be a staple in my home and parties!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;I have to say I never thought of buying a mix like this, but it is so tasty and delicious! All you have to do is add your favorite whiskey and some Robert Porter over ice. Super easy manhattan and very smooth, and tastes amazing! Highly recommended.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-11T00:00:00.000Z;sí;5;I wasn't too sure about this at first because it was so inexpensive...but thought I'd give it a shot. It far exceeded all expectations!!! So delicious and smooth!!! Super impressed! Plus it doesn't hurt that the guy on the bottle is cute...just sayin
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-16T00:00:00.000Z;sí;5;This is a superb drink for those days you don't feel like getting dressed for that upscale bar downtown. Invite a friend and share this cocktail at home. This is an elegant drink for those with a sophisticated palate. This cocktail will now be a staple in my home bar.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;Not personally into pre made mixes, but bought this for entertaining friends the other night. Was extremely impressed! So smooth and balanced! Everyone LOVED their manhattans! All you have to do is add your whiskey or bourbon of choice. There are no artificial flavors or high fructose corn syrups in the mix either. Just pure cane sugar. Honestly probably safer than using the liqueurs on the market! As a bartender myself I'm telling you to get this product!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;I used this Manhattan Mixer at our weekend pool party and it was an absolute hit!!! Cocktails were delicious and simple to make. It was one of the conversational pieces of the party!!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;This is great stuff! I wasn't sure what to expect before trying it, because it's the first time I've tried Manhattan Mix. It is so easy to make and even easier to drink. Delicious, smooth, wonderful on the palette. Next time I'm in I'm going to buy 6 of them, and also get some for my friends. Great stuff, please keep this in stock!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-11T00:00:00.000Z;sí;4;Love this... great product!! Prefect for parties... graduation, summer bbq's...
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;It's a full bodied and delicious!! I use it at get together or just when I'm needing that Manhattan at home after work!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-14T00:00:00.000Z;sí;5;I am a fan of the Manhattan, although rarely do I buy a mix. However I decided to give this a try, the price couldn't be beat. Smooth taste, authentic to a true Manhattan. Just follow the directions on the bottle, simple as that. It's a great tasting mixer, in a good size bottle at a good price.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-11T00:00:00.000Z;sí;5;This was the best buy the Manhattan was perfect , tasty, and smooth. I was at a party and first tried the drink and went out and purchased for my party coming up. I had to share I think people will love love it!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;Great tasting fool proof mix served in a very stylish bottle!!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-11T00:00:00.000Z;sí;5;This is so delicious! You can actually make a perfect tasting, smooth Manhattan like a pro. Great product!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-14T00:00:00.000Z;sí;5;Had this for a party last night it was a hit! Fantastic mix, whoever put this together knows their stuff! Highly recommended
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-10T00:00:00.000Z;sí;5;What an amazing product!! Absolutely love it!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;This product is so simple and easy to use !! I've tried different manhatan mixes before and this one is by far my favorite! It meshes very well w any burbon and the flavors don't overpower and try to mask the burbon like other products !!! It's an essential to my mini bar at home !!AMAZING PRODUCT!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-11T00:00:00.000Z;no;2;I have a manhattan almost everyday after work. My wife bought me this to try and although it is decent, it is not necessary. Spend your money on quality vermouth and of course the best bourbon one can afford.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;I've already went through 5 bottles of this stuff! Great tasting and smooth... and so easy to make my favorite drink.. a manhattan! Definitely recommend this as a premium mixer.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;A must for every home bar!! How easy can it get.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;amazing product. It make making a cocktail easy and tastes great.
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;So good! It really makes having a craft cocktail at home really easy. It is so hard to find natural products these days, especially mixers. I really love this one. The taste is excellent! I'm going to try some of the other mixers now too. This one is definitely my new favorite mixer!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;I love this mix!! It's easy and taste delicious!!!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;After tasting the smooth flavor of this mix, I discovered a more natural way to enjoy a manhattan!!
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;This mix was the star of the party. We could not make it fast enough for the guest to drink
Cocktail Artist;;Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix, 25.3 fl oz;2017-05-17T00:00:00.000Z;sí;5;Although this is a Manhattan mix, I love to add it to many of my cocktails! The flavors are so complex, they elevate the flavor profile of my concoctions!
Jose Cuervo;2.70 in x 3.70 in x 11.30 in;Jose Cuervo Classic Lime The Original Margarita Mix, 33.8 fl oz;2015-09-20T00:00:00.000Z;sí;4;It was a little tart but I like that.
Jose Cuervo;2.70 in x 3.70 in x 11.30 in;Jose Cuervo Classic Lime The Original Margarita Mix, 33.8 fl oz;2016-03-16T00:00:00.000Z;sí;5;What a great mix. Makes an excellent Margarita. Just add tequila.
Jose Cuervo;2.70 in x 3.70 in x 11.30 in;Jose Cuervo Classic Lime The Original Margarita Mix, 33.8 fl oz;2016-08-15T00:00:00.000Z;no;1;Very small amount for the price. Won't make this mistake again!
Jose Cuervo;2.70 in x 3.70 in x 11.30 in;Jose Cuervo Classic Lime The Original Margarita Mix, 33.8 fl oz;2015-11-02T00:00:00.000Z;sí;5;This is the Bomb!
Pain Is Good;;Pain Is Good Most Wanted Cajun Spice Bloody Mary Mix, 32 fl oz;2017-01-30T00:00:00.000Z;sí;4;Sweet then hits you like fire!
Pain Is Good;;Pain Is Good Most Wanted Cajun Spice Bloody Mary Mix, 32 fl oz;2016-12-30T00:00:00.000Z;sí;4;Good spice and a cool label on the bottle!
Pain Is Good;;Pain Is Good Most Wanted Cajun Spice Bloody Mary Mix, 32 fl oz;2016-03-17T00:00:00.000Z;sí;3;Very poor packaging, wrapping and shipping. Two of three bottles were broke on arrival .
Bud Liight Lime;;Bud Light Lime Grape-Ahh-Rita Margarita, 25 fl oz;2017-07-18T00:00:00.000Z;sí;5;If you love grape juice with a twist, this is a must try!!
Pinnacle;;Pinnacle Whipped Flavored Vodka, 375 mL;2017-08-13T00:00:00.000Z;sí;5;Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-08-06T00:00:00.000Z;sí;5;I'm a single malt Scotch guy. I generally have two fingers neat with a quality cigar about once a week. On a stressful day, I'll have a couple of beers or so after work before the family gets home. The trouble is the beer gut that comes with that trend. I was looking for something similar to my favorite Scotch, which is a little out of my budget to drink daily. Jim Beam Black is an awesome substitute with the rich white oak aroma and flavor. It isn't near as smooth as my favorite Scotch, but the flavor is on point. Thank you Jim Beam for putting this great whiskey out there at an affordable price. You've got a customer for life!
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-08-07T00:00:00.000Z;sí;5;Exceptionally good flavor!
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-07-27T00:00:00.000Z;sí;5;No matter where I go after years of various bourbon tastings....Jim Beam Black is head and shoulders above the rest no matter what the price tag!
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-07-24T00:00:00.000Z;sí;5;I'm personally a wild turkey drinker. But cudos to Jim beam for producing such a classy commercial. Got the right girl to be their spokesperson. Good job. Very classy.
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-07-24T00:00:00.000Z;sí;5;Seriously You ask what's great about it What isn't great about it
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-06-28T00:00:00.000Z;sí;5;No explanation necessary.
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-06-20T00:00:00.000Z;sí;5;I first started drinking Jim Bean when i went camping. I didnt want to carry the bear around so i tried jim bean. My first was Red Stag Cherry. Than i tried devils cut when i came home. I have been hooked ever since. I usually mix with coke or dr.pepper.
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-06-12T00:00:00.000Z;sí;5;This is the best bourbon under 50 you can buy. One of the smoothest bourbons I've tasted. I typically drink Woodford Reserve or Eagle Rare until I tried this. I buy a bottle every two weeks now.
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-06-08T00:00:00.000Z;sí;5;This is Beam at it's best very smooth.
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-05-27T00:00:00.000Z;sí;5;I tried JB Black for the first time tonight. It is so smooth. We made whiskey sours with it and they were awesome. Thanks Jim Beam for this awesome bourbon!!!
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-05-19T00:00:00.000Z;sí;5;I have been enjoying JB Black for the past three years. The has all the flavor os a higher proof, bur 86, I can have another without collapsing. Now it has disappeared from even the most extensive liquor stores in my area. What happened The double oaked is OK, but no match for the black. Where can I find it in Sonoma County, California
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-05-22T00:00:00.000Z;sí;5;I bought this in early December and it didn't make it to the new year... This one is Awesome, keep up the great work!
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 375.0 ML;2017-05-05T00:00:00.000Z;sí;5;Absolutely love, love, love it!!
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-06-22T00:00:00.000Z;sí;5;I really like how compact and easy to use this pressure washer is, would buy it again in an instant after using it.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-05-17T00:00:00.000Z;sí;3;First off its not as powerful as the gas model I had but its not as bad as the other reviews describe. My gas model would peel paint. This one is not that strong. If you need something to wash and clean, it works fine on concrete and dirt. If you need to peel paint, get a gas one.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-05-17T00:00:00.000Z;sí;5;I was lucky to purchase this power washer on sale for 99.99 . My patio and porch look like new. My drive way and sidewalks look new as well. I decided to power wash my house too. All with just water. Everything done in about 6 hours. Easy to use. Great investment great review. Barbecue pits are next.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-04-19T00:00:00.000Z;no;2;I used this a lot to clean my wheel wells on my truck of road pack and the underside of my riding mower. I was disappointed to see that after only 2 years of use my pump developed a leak which would cost more to fix than than buying a new unit. I am retired and can't afford to buy one every 2 years but it looks like I will.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-03-26T00:00:00.000Z;no;2;If you're going to take the time a pressure wash your driveway or your house, this is not worth the time or effort. The nozzle is so small and the actual dirt that comes off is the same amount from a normal hose.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-05-17T00:00:00.000Z;sí;5;I also got this during Sam's Spring sale. Having messed with my father's 10 year old Electric pressure washer, I didn't have high hopes. I was looking for something inexpensive that would clean my driveway, grill and fence every so often. Yes, gas models are more powerful, but they're more expensive and you need to maintain them. First off - the build quality. Seems rugged. Metal couplings for hoses (vs plastic for my dad's old one). How well it does: Concrete was cleaned! The big circle washer does an OK job, but the turbo washer really gets it done (see photo). The big circle washer would be good for maintaining, not for a deep clean. Also had no issues cleaning my grill from 2 years of grease. Overall with a 2 year warranty I'm pretty happy with this!
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-08-04T00:00:00.000Z;sí;5;Bought, assembled, and used it to clean concrete with mold, mildew, and moss on it. Worked great.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-12T00:00:00.000Z;sí;4;I got this to do a power washing job, and I love it. It's small yet powerful comes with a variety of different accessories that you would end up paying more money for.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-02T00:00:00.000Z;sí;5;Sam's Club is 99 percent pleasing with its all of its sales products. Everything from electrical, electronic, groceries, furniture, building products, recreational and mechanical etc... My black max pressure washer gets five stars and the sales price was the best! I recommended that my youngest son purchase one and he loves it too. Thanks, Sams Club
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-06T00:00:00.000Z;sí;5;Great electric pressure washer, the scrubber worked great on my patio.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-02T00:00:00.000Z;sí;5;I purchased an electric model just to avoid another gas engine. This model works good cleaning our patio aggregate steps, walk driveway. It's light weight, easy to store priced accordingly.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-06-22T00:00:00.000Z;sí;5;I'm a woman who doesn't like to wait for her husband to help her do something. I can operate this by myself. I was surprised at how nicely it cleaned our composite decking. Our 40 year oldcement steps had green moss and black stains and I was able to clean they also. I used Scott's outdoor soap and can easily attach different nozzles and attachments. I hated our our gas power washer and we had much trouble with it. I hope this one lasts as it is a good value.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-03T00:00:00.000Z;sí;3;I bought this article on sale and was a good deal it doesn't has a lot of power but works.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-03T00:00:00.000Z;sí;5;I did purchase this pressure washer about a month ago and just used it. I am very happy with it. I got a lot of bang for my buck. I really like it.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-02T00:00:00.000Z;sí;5;For its size works good. Have two gas ones but can't use inside due to fumes. This electric one does the job.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-05T00:00:00.000Z;sí;5;Great price works great
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-03T00:00:00.000Z;sí;4;Does what I need it to do. Great attachments. Not as powerful as gas powered but knew that before purchase.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-07-02T00:00:00.000Z;sí;4;Nice machine . It's slower than a gas machine but it gets the job done.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-06-23T00:00:00.000Z;sí;5;I have used the Black Max Pressure washer countless times since it arrived. I was able to clean green moss type mold from between the clay bricks in my courtyard that has been there for years. This piece of equipment is very easy to handle, even for a small person such as myself. I LOVE MY PRESSURE WASHER!!!!
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-06-23T00:00:00.000Z;sí;5;Had a gas pressure washer. Worked well for a couple of years, with some minor repairs, then finally went kaput. Only need it for light cleaning. This one started without problem, and did the job it was intended for. AND it was reasonably priced.
Jack Daniel's;;Jack Daniel's Master Distiller Series Tennessee Whiskey, 750mL;2017-06-18T00:00:00.000Z;no;1;Bought last year and used once. Not strong enough to do much more than wash your car. Sprayer is plastic and not rugged. Sprayer ailed on me this year. Internal components rusted even though the washer was drained. Threaded connection to the sprayer is plastic. Cheaply made. Now junkyard.
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-04-15T00:00:00.000Z;sí;4;Schweppes makes a good Diet Tonic. I prefer Canada Dry only because it seems to hold the fizz longer. I don't drink generic, I have not found any of the off-brands that taste good compared to Schweppes and Canada Dry. Please don't stop carrying or even add Canada Dry. The only other thing I suggest is to stock more on the shelves as most of the time there is maybe one or two on the shelf. Sartell Walmart
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-08-09T00:00:00.000Z;sí;5;If you drink tonic water, this one is the best tasting and it is great that Walmart now has it available and will ship it to your home. I hope they continue this!
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-03-03T00:00:00.000Z;no;1;the product advertise said 15pk, I have no idea what that means but I assumed it was going to be 15 pack - it turned out to be one bottle for 2.50 - less expensive to buy at the store! It does not make any sense.
Schweppes;;Schweppes Diet Tonic Water, 1 L;2017-01-26T00:00:00.000Z;sí;5;Great taste
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-05-30T00:00:00.000Z;sí;5;I have been trying to cut back on sugar and found this has the best taste , I compared Canada Dry,Polar,Walmart . But I can't find in smaller bottle or cans.
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-07-05T00:00:00.000Z;sí;5;Great product and will purchase again.
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-05-14T00:00:00.000Z;sí;5;Schweppes Tonic is the best there is because it doesn't lose it's fizz and always has a great refreshing taste.
Schweppes;;Schweppes Diet Tonic Water, 1 L;2016-02-26T00:00:00.000Z;sí;3;It was just ok, I will buy it only if you guys run out of your Great Value Diet Tonic Water. (Because I have to have the diet) Schweppes just doesn't have the flavor nor does it it hold its carbonation like the Great Value Brand does.
Schweppes;;Schweppes Diet Tonic Water, 1 L;;TRUE;;Schweppes Tonic is the best there is because it doesn't lose it's fizz and always has a great refreshing taste.
Schweppes;;Schweppes Diet Tonic Water, 1 L;;FALSE;;the product advertise said 15pk, I have no idea what that means but I assumed it was going to be 15 pack - it turned out to be one bottle for $2.50 - less expensive to buy at the store! It does not make any sense.
Schweppes;;Schweppes Diet Tonic Water, 1 L;;FALSE;;It was just ok, I will buy it only if you guys run out of your Great Value Diet Tonic Water. (Because I have to have the diet) Schweppes just doesn't have the flavor nor does it it hold its carbonation like the Great Value Brand does.
Schweppes;;Schweppes Diet Tonic Water, 1 L;;TRUE;;Great product and will purchase again.
